inputTest,targetTest,wl,inputCalibration,targetCalibration,inputValidation
0.279314935,8.145,1004.059311,-0.374778301,8.481,
0.182649255,5.498,1004.837691,0.588937998,6.834,
,,1005.617176,-0.475040734,8.594,
,,1006.397974,-0.474231362,8.497,
,,1007.179985,-0.465113699,6.802,
,,1007.96311,0.209387362,6.043,
,,1008.747556,0.750350475,6.732,
,,1009.533122,0.139051169,9.272,
,,1010.320015,0.228066504,6.077,
,,1011.108033,-0.485609412,6.824,
,,1011.897383,0.389702857,6.73,
,,1012.687865,0.2588045,6.028,
,,1013.479685,-0.498013198,6.752,
,,1014.272745,-0.538165927,8.482,
,,1015.066943,0.643448651,8.752,
,,1015.86249,0.43515861,8.387,
,,1016.659181,0.312679648,9.143,
,,1017.457226,0.295348763,4.989,
,,1018.256421,0.574703753,8.585,
,,1019.056977,,,
,,1019.858792,,,
,,1020.661766,,,
,,1021.46611,,,
,,1022.271618,,,
,,1023.078503,,,
,,1023.886557,,,
,,1024.695993,,,
,,1025.506605,,,
,,1026.318606,,,
,,1027.131894,,,
,,1027.946367,,,
,,1028.762238,,,
,,1029.579298,,,
,,1030.397764,,,
,,1031.217426,,,
,,1032.0385,,,
,,1032.860775,,,
,,1033.684469,,,
,,1034.509478,,,
,,1035.335697,,,
,,1036.163344,,,
,,1036.992208,,,
,,1037.822507,,,
,,1038.654029,,,
,,1039.486992,,,
,,1040.321185,,,
,,1041.156825,,,
,,1041.993809,,,
,,1042.832031,,,
,,1043.671712,,,
,,1044.512637,,,
,,1045.355028,,,
,,1046.198669,,,
,,1047.043782,,,
,,1047.890262,,,
,,1048.738001,,,
,,1049.587224,,,
,,1050.437712,,,
,,1051.289691,,,
,,1052.142942,,,
,,1052.99769,,,
,,1053.853716,,,
,,1054.711247,,,
,,1055.570175,,,
,,1056.430391,,,
,,1057.292123,,,
,,1058.155149,,,
,,1059.019697,,,
,,1059.885547,,,
,,1060.752927,,,
,,1061.621614,,,
,,1062.491839,,,
,,1063.363491,,,
,,1064.236461,,,
,,1065.11098,,,
,,1065.986823,,,
,,1066.864221,,,
,,1067.742952,,,
,,1068.623245,,,
,,1069.50499,,,
,,1070.388078,,,
,,1071.27274,,,
,,1072.15875,,,
,,1073.046342,,,
,,1073.93529,,,
,,1074.825827,,,
,,1075.717727,,,
,,1076.611224,,,
,,1077.506207,,,
,,1078.402562,,,
,,1079.300527,,,
,,1080.199872,,,
,,1081.100833,,,
,,1082.003182,,,
,,1082.907155,,,
,,1083.812523,,,
,,1084.719524,,,
,,1085.628043,,,
,,1086.537968,,,
,,1087.449538,,,
,,1088.36252,,,
,,1089.277156,,,
,,1090.193211,,,
,,1091.110927,,,
,,1092.030189,,,
,,1092.950882,,,
,,1093.873249,,,
,,1094.797054,,,
,,1095.72254,,,
,,1096.649473,,,
,,1097.578095,,,
,,1098.508171,,,
,,1099.439945,,,
,,1100.373302,,,
,,1101.308123,,,
,,1102.244655,,,
,,1103.18266,,,
,,1104.122384,,,
,,1105.063589,,,
,,1106.006522,,,
,,1106.950943,,,
,,1107.897102,,,
,,1108.844879,,,
,,1109.794155,,,
,,1110.745182,,,
,,1111.697717,,,
,,1112.652011,,,
,,1113.60782,,,
,,1114.565397,,,
,,1115.524622,,,
,,1116.485375,,,
,,1117.44791,,,
,,1118.41198,,,
,,1119.377841,,,
,,1120.345246,,,
,,1121.31445,,,
,,1122.285206,,,
,,1123.257771,,,
,,1124.232023,,,
,,1125.20784,,,
,,1126.185479,,,
,,1127.164692,,,
,,1128.145736,,,
,,1129.128361,,,
,,1130.112828,,,
,,1131.098885,,,
,,1132.086793,,,
,,1133.076427,,,
,,1134.067665,,,
,,1135.060767,,,
,,1136.055481,,,
,,1137.05207,,,
,,1138.050279,,,
,,1139.050371,,,
,,1140.052224,,,
,,1141.055709,,,
,,1142.061094,,,
,,1143.068121,,,
,,1144.077056,,,
,,1145.087643,,,
,,1146.100148,,,
,,1147.114313,,,
,,1148.130407,,,
,,1149.148303,,,
,,1150.167873,,,
,,1151.189386,,,
,,1152.212582,,,
,,1153.237732,,,
,,1154.264575,,,
,,1155.293381,,,
,,1156.323889,,,
,,1157.356371,,,
,,1158.390699,,,
,,1159.426742,,,
,,1160.464775,,,
,,1161.504534,,,
,,1162.546293,,,
,,1163.589786,,,
,,1164.63529,,,
,,1165.682675,,,
,,1166.731809,,,
,,1167.78297,,,
,,1168.83589,,,
,,1169.890847,,,
,,1170.947573,,,
,,1172.006347,,,
,,1173.0669,,,
,,1174.129512,,,
,,1175.194051,,,
,,1176.260384,,,
,,1177.328792,,,
,,1178.399004,,,
,,1179.471302,,,
,,1180.545414,,,
,,1181.621624,,,
,,1182.699659,,,
,,1183.779802,,,
,,1184.86192,,,
,,1185.945877,,,
,,1187.031961,,,
,,1188.119894,,,
,,1189.209965,,,
,,1190.301896,,,
,,1191.395977,,,
,,1192.49207,,,
,,1193.59004,,,
,,1194.690176,,,
,,1195.792199,,,
,,1196.8964,,,
,,1198.002499,,,
,,1199.110787,,,
,,1200.220985,,,
,,1201.333384,,,
,,1202.447847,,,
,,1203.564235,,,
,,1204.682843,,,
,,1205.803387,,,
,,1206.926163,,,
,,1208.050886,,,
,,1209.177853,,,
,,1210.306779,,,
,,1211.437961,,,
,,1212.57126,,,
,,1213.706534,,,
,,1214.844083,,,
,,1215.983618,,,
,,1217.125442,,,
,,1218.269263,,,
,,1219.415385,,,
,,1220.563517,,,
,,1221.713962,,,
,,1222.866578,,,
,,1224.021221,,,
,,1225.178196,,,
,,1226.33721,,,
,,1227.49857,,,
,,1228.661981,,,
,,1229.82775,,,
,,1230.995734,,,
,,1232.165786,,,
,,1233.338217,,,
,,1234.512729,,,
,,1235.689633,,,
,,1236.86863,,,
,,1238.050032,,,
,,1239.233539,,,
,,1240.419465,,,
,,1241.607663,,,
,,1242.797986,,,
,,1243.990747,,,
,,1245.185645,,,
,,1246.382997,,,
,,1247.582497,,,
,,1248.784464,,,
,,1249.988594,,,
,,1251.195204,,,
,,1252.404146,,,
,,1253.61527,,,
,,1254.828895,,,
,,1256.044715,,,
,,1257.263051,,,
,,1258.483595,,,
,,1259.70667,,,
,,1260.932124,,,
,,1262.159805,,,
,,1263.390039,,,
,,1264.622514,,,
,,1265.857556,,,
,,1267.094852,,,
,,1268.33473,,,
,,1269.576875,,,
,,1270.821618,,,
,,1272.068804,,,
,,1273.318278,,,
,,1274.570371,,,
,,1275.824766,,,
,,1277.081797,,,
,,1278.341143,,,
,,1279.603139,,,
,,1280.867465,,,
,,1282.134456,,,
,,1283.403957,,,
,,1284.675809,,,
,,1285.950349,,,
,,1287.227256,,,
,,1288.506867,,,
,,1289.788858,,,
,,1291.073569,,,
,,1292.360842,,,
,,1293.650517,,,
,,1294.942937,,,
,,1296.237774,,,
,,1297.53537,,,
,,1298.835399,,,
,,1300.138205,,,
,,1301.443457,,,
,,1302.751502,,,
,,1304.06218,,,
,,1305.375327,,,
,,1306.691292,,,
,,1308.009742,,,
,,1309.331026,,,
